Heure;Irr
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;0
9;0
10;10
11;87
12;191
13;160
14;161
15;487
16;337
17;206
18;66
19;0
20;0
21;0
22;0
23;0
24;0
25;0
26;0
27;0
28;0
29;0
30;0
31;0
32;0
33;0
34;90
35;258
36;414
37;412
38;452
39;459
40;397
41;224
42;45
43;0
44;0
45;0
46;0
47;0
48;0
49;0
50;0
51;0
52;0
53;0
54;0
55;0
56;0
57;0
58;66
59;175
60;299
61;340
62;321
63;477
64;358
65;221
66;58
67;0
68;0
69;0
70;0
71;0
72;0
73;0
74;0
75;0
76;0
77;0
78;0
79;0
80;0
81;0
82;95
83;255
84;399
85;472
86;512
87;434
88;406
89;225
90;95
91;0
92;0
93;0
94;0
95;0
96;0
97;0
98;0
99;0
100;0
101;0
102;0
103;0
104;0
105;0
106;95
107;232
108;415
109;401
110;431
111;401
112;300
113;163
114;27
115;0
116;0
117;0
118;0
119;0
120;0
121;0
122;0
123;0
124;0
125;0
126;0
127;0
128;0
129;0
130;58
131;255
132;333
133;362
134;243
135;331
136;191
137;84
138;20
139;0
140;0
141;0
142;0
143;0
144;0
145;0
146;0
147;0
148;0
149;0
150;0
151;0
152;0
153;0
154;82
155;149
156;263
157;117
158;224
159;255
160;227
161;155
162;52
163;0
164;0
165;0
166;0
167;0
168;0
169;0
170;0
171;0
172;0
173;0
174;0
175;0
176;0
177;0
178;94
179;223
180;396
181;488
182;514
183;439
184;390
185;237
186;94
187;0
188;0
189;0
190;0
191;0
192;0
193;0
194;0
195;0
196;0
197;0
198;0
199;0
200;0
201;0
202;65
203;197
204;406
205;433
206;499
207;414
208;320
209;210
210;94
211;0
212;0
213;0
214;0
215;0
216;0
217;0
218;0
219;0
220;0
221;0
222;0
223;0
224;0
225;0
226;34
227;148
228;214
229;252
230;52
231;246
232;318
233;160
234;83
235;0
236;0
237;0
238;0
239;0
240;0
241;0
242;0
243;0
244;0
245;0
246;0
247;0
248;0
249;0
250;75
251;196
252;329
253;433
254;446
255;390
256;335
257;195
258;49
259;0
260;0
261;0
262;0
263;0
264;0
265;0
266;0
267;0
268;0
269;0
270;0
271;0
272;0
273;0
274;80
275;228
276;334
277;223
278;246
279;205
