Heure;Conso
1;977
2;587
3;535
4;851
5;1129
6;515
7;548
8;501
9;693
10;713
11;858
12;759
13;1320
14;2336
15;1017
16;845
17;950
18;1069
19;805
20;938
21;1069
22;1082
23;2185
24;1267
25;964
26;627
27;627
28;600
29;667
30;647
31;600
32;601
33;1953
34;2363
35;2634
36;2085
37;680
38;752
39;687
40;627
41;680
42;1333
43;1168
44;673
45;1380
46;1095
47;1241
48;1148
49;667
50;1419
51;389
52;456
53;435
54;443
55;607
56;765
57;806
58;1669
59;1261
60;535
61;1366
62;765
63;779
64;832
65;1630
66;1307
67;1505
68;1122
69;1135
70;1016
71;1122
72;1215
73;1590
74;621
75;554
76;568
77;567
78;555
79;620
80;568
81;1491
82;1043
83;581
84;647
85;2514
86;3122
87;898
88;937
89;2118
90;1149
91;1109
92;1029
93;1109
94;845
95;845
96;660
97;468
98;1419
99;508
100;515
101;475
102;436
103;495
104;726
105;640
106;858
107;1195
108;1386
109;924
110;746
111;818
112;858
113;898
114;1042
115;1360
116;2330
117;1293
118;1083
119;1043
120;1016
121;990
122;1030
123;620
124;502
125;528
126;1531
127;561
128;534
129;608
130;831
131;832
132;897
133;819
134;785
135;726
136;845
137;858
138;845
139;792
140;772
141;957
142;871
143;924
144;660
145;1175
146;4561
147;1834
148;429
149;449
150;469
151;442
152;436
153;673
154;686
155;621
156;567
157;489
158;686
159;667
160;924
161;1056
162;1069
163;864
164;680
165;746
166;766
167;805
168;699
169;832
170;2198
171;2257
172;2218
173;402
174;495
175;607
176;740
177;732
178;475
179;416
180;535
181;719
182;673
183;654
184;765
185;429
186;489
187;858
188;897
189;885
190;719
191;739
192;462
193;905
194;2237
195;581
196;462
197;482
198;468
199;416
200;653
201;713
202;726
203;508
204;495
205;594
206;627
207;528
208;462
209;502
210;422
211;634
212;898
213;679
214;693
215;832
216;607
217;819
218;2197
219;614
220;502
221;416
222;448
223;2746
224;680
225;719
226;462
227;482
228;482
229;468
230;647
231;772
232;819
233;620
234;693
235;792
236;792
237;673
238;707
239;950
240;1016
241;1386
242;2416
243;535
244;475
245;402
246;469
247;469
248;481
249;759
250;1624
251;1822
252;3300
253;3055
254;977
255;726
256;977
257;2132
258;1386
259;1960
260;759
261;409
262;423
263;435
264;350
265;957
266;977
267;383
268;349
269;416
270;396
271;416
272;627
273;1445
274;878
275;832
276;2475
277;2732
278;1611
279;871
280;1056
281;1122
282;3029
283;1967
284;2884
285;1234
286;2805
287;1479
288;1043
289;1874
290;568
291;613
292;528
293;594
294;575
295;528
296;818
297;673
298;667
299;620
300;370
301;429
302;567
303;700
304;574
305;502
306;594
307;647
308;884
309;739
310;819
311;910
312;806
313;1135
314;2297
315;811
316;462
317;449
318;456
319;462
320;587
321;686
322;515
323;706
324;522
325;435
326;555
327;587
328;753
329;778
330;766
331;898
332;1709
333;792
334;871
335;1083
336;600
337;1003
338;2198
339;574
340;495
341;436
342;488
343;608
344;686
345;627
346;1564
347;667
348;574
349;805
350;937
351;2185
352;1901
353;726
354;884
355;1802
356;772
357;825
358;726
359;1003
360;693
361;396
362;344
363;778
364;997
365;383
366;383
367;389
368;587
369;627
370;594
371;344
372;409
373;594
374;594
375;383
376;613
377;766
378;706
379;713
380;1003
381;1175
382;1082
383;1070
384;825
385;1089
386;2197
387;588
388;561
389;600
390;647
391;726
392;871
393;2112
394;2594
395;2653
396;469
397;1036
398;1096
399;488
400;2086
401;1373
402;719
403;1511
404;2251
405;1122
406;1333
407;1822
408;1043
409;712
410;515
411;423
412;481
413;482
414;1512
415;607
416;600
417;693
418;581
419;1116
420;455
421;1439
422;1445
423;2284
424;2019
425;608
426;679
427;601
428;752
429;898
430;1703
431;713
432;600
433;383
434;416
435;396
436;422
437;343
438;390
439;1597
440;634
441;858
442;1042
443;1109
444;1109
445;1360
446;1234
447;1472
448;1551
449;1003
450;1201
451;1716
452;1531
453;970
454;1162
455;1241
456;1234
457;1346
458;436
459;568
460;528
461;462
462;554
463;515
464;686
465;825
466;647
467;713
468;772
469;653
470;766
471;884
472;872
473;858
474;765
475;1017
476;1003
477;1109
478;950
479;805
480;660
481;1155
482;2356
483;627
484;469
485;488
486;449
487;508
488;766
489;475
490;1710
491;594
492;547
493;1096
494;911
495;2706
496;1650
497;818
498;739
499;2040
500;1122
501;1069
502;1003
503;1069
504;561
505;495
506;509
507;475
508;1208
509;778
510;561
511;766
512;924
513;805
514;2416
515;2653
516;832
517;1009
518;832
519;647
520;739
521;1459
522;1518
523;1108
524;1175
525;1307
526;911
527;950
528;594
529;1630
530;476
531;448
532;548
533;515
534;660
535;884
536;872
537;2065
538;746
539;640
540;627
541;647
542;574
543;726
544;779
545;1789
546;924
547;871
548;1069
549;1287
550;1003
551;726
